Category Name,Category Id
Arts & Photography,1
Biographies & Memoirs,2
Books on CD,69724
Business & Money,3
Comics & Graphic Novels,4366
Literature & Fiction,17
Engineering & Transportation,173507
Religion & Spiritiuality,22
Romance,23
Science Fiction & Fantasy,25
Teens,28
Travel,27
Christian Books & Bibles,12290
Medical Books,173514
Politics & Social Sciences,3377866011
Self-Help,4736
Computers & Technology,5
"Cookbooks, Food, & Wine",6
"Crafts, Hobbies, & Home",48
Reference,21
"Health, Fitness, & Dieting",10
Humor & Entertainment,86
Parenting & Relationships,20
Science & Mathematics,75
Sports & Outdoors,26
"Mystery, Thriller, & Suspense",18
History,9
Law,10777
Deals in Books,45
